,discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
0,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",73,37.72311602,0.419889146,"Category('10', 10)",258.0445119,0.619440181,"Category('10', 10)",36.60572255,0.399198684,"Category('10', 10)",114.6976373,0.624779919,"Category('10', 10)",173.0973488,0.001271832,"Category('1.5', 1.5)",1355893948,0,1.028947819,1475536276,0,0.927258203,0,0
1,"Category('1.5', 1.5)","Category('2.5', 2.5)","Category('1.5', 1.5)",35,31.47409268,0.219917778,"Category('10', 10)",34.72683982,0.050132726,"Category('10', 10)",233.8701711,0.074895862,"Category('1.0', 1.0)",160.4266342,0.994494008,"Category('1.5', 1.5)",152.7900394,0.974145718,"Category('1.0', 1.0)",6828892502,0,5.627660594,0,0,0,0,0
2,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",54,110.9782056,0.658530846,"Category('10', 10)",61.44309128,0.576337225,"Category('10', 10)",137.7386677,0.550134681,"Category('10', 10)",156.3859526,0.543026885,"Category('1.0', 1.0)",179.3503404,0.006891021,"Category('1.0', 1.0)",264537208.1,0,0.254827541,1527845866,0,0.961203919,0,0
3,"Category('2.5', 2.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",16,76.24613968,0.334037943,"Category('1.0', 1.0)",71.43450134,0.068455593,"Category('1.5', 1.5)",43.00213621,0.027650754,"Category('1.0', 1.0)",76.69636252,0.73313127,"Category('1.5', 1.5)",155.6807442,0.001129059,"Category('1.5', 1.5)",6471253693,0,5.420954392,984818058,0,0.628309924,0,0
4,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",65,34.41136355,0.597332616,"Category('1.5', 1.5)",238.705316,0.69983777,"Category('1.0', 1.0)",37.80374346,0.103699684,"Category('1.5', 1.5)",34.90316816,0.26826696,"Category('1.5', 1.5)",113.5070155,1.19E-06,"Category('1.5', 1.5)",2726291379,0,3.340960773,1337350011,0,0.813181559,0,0
5,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",105,62.24139953,0.380615867,"Category('1.5', 1.5)",295.87557,0.732366402,"Category('1.0', 1.0)",30.03930332,0.275860069,"Category('1.0', 1.0)",96.53061289,0.644960946,"Category('1.0', 1.0)",131.1192571,0.000410824,"Category('10', 10)",2703103242,0,2.207090866,1411514398,0,0.880530626,0,0
6,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",96,128.6181775,0.988361955,"Category('10', 10)",304.2986099,0.94411826,"Category('1.5', 1.5)",192.5413867,0.813875743,"Category('1.5', 1.5)",204.3274306,0.448626624,"Category('1.0', 1.0)",113.3811031,1.33E-05,"Category('1.5', 1.5)",78314729.81,0,0.101317083,1551369200,0,0.962640839,0,0
7,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",23,30.69356394,0.295282009,"Category('1.5', 1.5)",253.5451804,0.530820526,"Category('1.5', 1.5)",47.00251557,0.294256558,"Category('1.0', 1.0)",128.1994495,0.741030455,"Category('10', 10)",174.4042041,0.000123619,"Category('1.0', 1.0)",4302618067,0,2.604132229,1372488012,0,0.85199778,0,0
8,"Category('1.5', 1.5)","Category('3.5', 3.5)","Category('1.5', 1.5)",103,30.02124399,0.344841873,"Category('1.0', 1.0)",309.2828593,0.824570911,"Category('1.5', 1.5)",97.53542835,0.769143693,"Category('1.5', 1.5)",81.6775398,0.516685279,"Category('1.0', 1.0)",239.5517248,0.005066672,"Category('1.0', 1.0)",2283649176,0,1.338584171,1293263598,0,0.928510068,0,0
9,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",88,30.17821468,0.394229169,"Category('1.5', 1.5)",125.9691454,0.456196173,"Category('1.0', 1.0)",39.31065212,0.00362921,"Category('1.0', 1.0)",348.8475041,0.525964315,"Category('1.0', 1.0)",147.25716,4.72E-05,"Category('1.5', 1.5)",4289766918,0,4.110522136,1232040885,0,0.749425202,0,0
10,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('2.5', 2.5)",6,30.07396734,0.361618056,"Category('10', 10)",290.5467218,0.916408538,"Category('1.5', 1.5)",347.0196293,0.764687409,"Category('1.5', 1.5)",107.5544815,0.461255064,"Category('10', 10)",131.7705406,2.01E-05,"Category('1.5', 1.5)",2089972148,0,1.16432032,1349327375,0,0.906069896,0,0
11,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('4.5', 4.5)",12,30.41292044,0.461412428,"Category('1.0', 1.0)",311.609875,0.9602223,"Category('1.0', 1.0)",30.08070844,0.197197648,"Category('1.5', 1.5)",52.3350486,0.976335957,"Category('1.5', 1.5)",109.6853235,1.03E-05,"Category('1.5', 1.5)",1895694176,0,2.538628566,1200175380,0,0.90001709,0,0
12,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('2.5', 2.5)",7,31.24362383,0.392930457,"Category('10', 10)",34.49304728,0.772818587,"Category('1.5', 1.5)",39.40470379,0.391429996,"Category('1.0', 1.0)",107.1407341,0.662553462,"Category('1.5', 1.5)",30.26377975,0.000218087,"Category('10', 10)",1764011274,0,1.199205198,1365031322,0,0.92881309,0,0
