,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,3,6,0,0,3,2,4,7,0,2,7,0,0,11000370.84,278201520.1,0.000562014,0,67731432.96,0,408000000,70.89037772
1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,4,6,3,4,0,7,0,7,2,9,0,1,0,0,0,356408822.7,0,7582091.644,51774557.9,0.003281227,442300000,0
2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,7,6,0,0,5,6,6,4,3,1,7,1,0,0,295082253.4,0,0,103231102.7,0,321100000,0
3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,7,6,4,0,6,3,4,6,4,5,6,4,6,0,0,414317718.6,0,0,118831146.4,0,146000000,0
4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,4,4,3,0,0,2,6,1,2,3,1,7,1,0,5853256.281,277115508.9,0.00060474,1819173.432,99719824.74,5.92E-05,284500000,176.44808
5,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,4,0,2,5,8,7,4,7,4,0,1,7073057.954,230821785.1,0.003209942,0,109182412.7,0,357700000,0
6,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,7,4,10,5,7,6,1,3,9,1,4,1,0,0,1,2383080.548,603065513.5,0.000243023,338628.3029,48861608.97,1.01E-05,394300000,61.25920757
7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,3,4,0,1,0,2,0,1,4,3,1,0,79823853.24,204057343.8,0.068211718,3094284.267,74391360.89,0.000714238,596800000,0
8,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,4,4,3,7,1,0,6,2,7,7,0,0,0,0,335788227.1,0,39333940.17,41882524.94,0.016909644,388400000,0
9,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,7,5,2,0,5,2,5,6,5,3,0,0,1,1,0,414402822.7,0,57716740.59,71998588.34,0.025019682,182600000,0
10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,10,2,2,3,3,3,1,1,5,7,2,7,0,3082411.486,375770195.5,0.000170263,5676836.094,110058521.6,0.000175956,115300000,257.3896502
11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,7,1,1,1,0,5,2,10,6,0,0,0,0,5,26514808.68,298261129.1,0.001454491,0,49263133.84,0,327000000,679.3699764
12,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,3,1,5,0,4,1,2,6,2,0,3,2,0,4,0,0,0,294786420.1,0,0,49940211.24,0,606200000,0
13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,5,5,3,0,5,2,6,6,6,2,1,1,3,2,0,415236329.5,0,53469245.58,117797558.3,0.023365112,61400000,0
14,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,7,10,5,4,6,1,3,9,2,4,0,0,0,1,2383080.548,492135723.3,0.002025194,0,42738396.48,0,478900000,0
15,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,5,2,3,1,2,6,3,0,3,10,1,1,0,0,0,298166497.9,0,47391299.93,65819826.1,0.02066708,351800000,0
16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,4,5,0,7,5,0,0,1,2,6,2,0,1,0,277514866.4,0,32397074.59,82180508.68,0.004766206,115300000,467.7541234
17,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,5,1,5,0,5,0,7,7,4,6,7,0,1,12185875.32,222938160.5,0.000664716,0,120611845.8,0,411600000,312.7751295
18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,6,4,5,5,1,6,0,0,3,0,7,3,0,7,0,333857688,0,16275272.04,103459585.5,0.000861556,248500000,479.3340923
19,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,7,5,4,0,6,5,4,6,3,1,6,4,1,1,0,405201536.5,0,0,121474964.2,0,146000000,0
20,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,7,2,4,0,6,1,3,7,7,4,7,4,1,1,0,373913421,0,0,138799849.9,0,92100000,0
21,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,2,3,5,0,1,0,1,7,2,5,0,10,0,0,0,25834747.51,269271997.1,0.011519698,0,35182151.91,0,521600000,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,5,0,1,2,5,0,5,7,5,6,6,167518658.9,251194084.7,0.007803073,4923398.069,170539551.1,0.000134272,0,1627.178422
23,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,7,1,0,2,0,6,3,1,5,0,0,0,0,210145744,0,265599678.4,28105580.53,0.041488252,394500000,3846.026374
24,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,10,6,6,7,1,1,6,0,5,9,0,0,0,42500518.74,488076324.3,0.036474266,26654147.77,32532068.43,0.010851505,327000000,0
25,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,7,2,4,3,1,1,6,9,2,5,6,0,0,0,13413799.37,412524488.9,0.011397764,36806576.29,35094140.68,0.015815902,660100000,0
26,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,7,4,6,7,0,1,1,9,0,0,0,0,0,1,134866087.9,369134565.1,0.005511363,31021187.51,25037214.09,0.001247445,151900000,1860.650895
27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,10,1,3,3,7,1,1,3,5,0,3,0,0,137458818.4,376395915.2,0.005530781,16275272.04,51047608.53,0.000861556,30700000,1436.168642
28,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,4,5,2,3,0,4,0,0,1,5,0,1,0,0,0,229974423.8,0,47846275.91,42805015.48,0.002428567,267200000,1429.929741
29,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,3,0,7,4,6,0,0,5,6,9,0,4,0,2,0,0,0,319428303.3,0,4455762.567,37273425.33,0.000127681,721500000,149.2574198
30,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,2,0,5,2,4,8,7,4,2,1,7,0,2535100.469,297356830.7,0.001160105,52611066,107879161.4,0.022964912,230600000,0
31,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,6,5,1,9,7,3,6,4,0,4,1,1,3,0,3003940.936,492329648.6,0.00016194,14618891.09,73351122.24,0.000487316,176700000,551.4738595
32,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,2,1,1,0,6,3,4,7,4,6,7,0,6,9589876.677,211780458.9,0.000522467,0,139888430.4,0,146000000,246.2369395
33,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,0,5,4,0,1,0,5,0,7,7,5,1,0,1,0,25834747.51,218099052.9,0.001382364,0,62762401.53,0,388400000,667.0069177
34,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,5,2,1,5,6,0,0,3,5,1,1,0,0,0,269343288.9,0,7582091.644,54003390.21,0.001181242,473000000,110.0340412
35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,7,4,2,1,6,2,1,5,5,1,0,3,0,0,5498765.707,361176592.4,0.001258295,16275272.04,48897403.82,0.002584668,248500000,295.0203437
