,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,5,5,8,8,4,8,7,0,7,3,8,1,4,1,2,0.0,574835919.4218711,0.0,913554.01058114,130057182.4730487,3.8414305878841355e-05,333100000.0,21.437804964611367
1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,3,6,6,9,2,1,3,6,4,5,5,2,0,9,0,0,0.0,503240454.5735769,0.0,0.0,72856160.52701545,0.0,977600000.0,0.0
2,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,3,5,8,0,0,7,0,5,0,10,1,7,6,1,4,2,10563496.205336962,298646904.61902964,0.0005621630978735957,0.0,129715977.12644213,0.0,765700000.0,273.1764641313599
3,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,3,5,6,9,6,4,6,3,7,0,3,7,0,0,2,0,0.0,534978276.8787845,0.0,4629663.20131508,51805814.75217746,0.00023685016500069885,1495700000.0,140.2805322522066
4,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,3,4,3,2,1,7,6,5,3,5,6,7,6,1,0,2,2727817.942664729,438938530.2590312,0.00014780248767311724,40228418.47178185,103072033.9260565,0.0020980664898660713,554000000.0,1269.9894448519694
5,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,3,1,0,3,4,0,4,0,3,6,0,1,7,0,3,7,5108021.20921646,249751178.5000741,0.000513155783003674,6070616.356130248,100301785.6576084,0.0002765811493894819,850300000.0,299.2131532881398
6,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,6,2,3,0,10,7,6,6,7,3,5,10,3,0,3,14780953.749970466,484773267.9267621,0.0009861588547143627,0.0,111288812.68601775,0.0,267200000.0,307.40400623758126
7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,2,3,2,4,4,6,7,4,4,0,4,1,7,2,2,0.0,433198588.1498625,0.0,8461780.519730527,133325848.4738847,0.000245825179986763,236500000.0,280.52972934271475
8,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,5,2,2,3,7,3,1,4,6,0,4,0,0,6,6,5214224.771595695,425806396.12736607,0.0015983160762168334,82933302.06408547,99238009.87313125,0.01228900107884474,486700000.0,1273.029728225974
9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,8,0,2,2,1,7,1,4,9,1,5,3,5320428.333974934,290252931.36688316,0.0005523882678075485,48616594.05007348,137908548.26270863,0.002409714866667483,199900000.0,1568.002941798652
10,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,2,2,6,0,2,7,6,9,3,0,3,1,0,5,3,7363738.177080576,388915424.461721,0.0032584201395377136,0.0,88025170.25039285,0.0,1015900000.0,0.0
11,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,3,2,4,6,1,3,4,7,4,3,2,0,5,6,0.0,405676527.7328176,0.0,90979924.52315025,112958773.00258514,0.03950230420052425,363800000.0,0.0
12,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,4,4,0,5,0,4,7,4,4,5,0,6,3,3,1,0.0,330944657.0243621,0.0,0.0,120509239.57216656,0.0,442300000.0,0.0
13,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,7,2,0,4,4,4,4,1,3,5,1,5,4,3,1,0.0,377727125.46290857,0.0,0.0,131857798.44428407,0.0,357700000.0,0.0
14,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,2,2,0,0,4,1,4,3,1,0,8,0,8,7,0,3,0.0,244130449.36641863,0.0,0.0,119778821.80247651,0.0,813700000.0,0.0
15,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,3,5,0,2,4,4,1,9,7,0,0,0,2,3,2,0,0.0,349389836.18950766,0.0,3691440.724760986,68186656.67611429,0.00010172127088906701,1366900000.0,127.19160368451324
16,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,3,7,2,3,2,0,6,6,6,7,0,4,0,0,2,0,0.0,406978856.8030013,0.0,14735328.5494184,37273425.32982029,0.0007443030277942702,1489800000.0,446.2466525567719
17,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,3,3,4,5,4,7,2,5,6,8,0,2,0,0.0,431200281.41256654,0.0,146136093.11071092,76848093.28231841,0.06376230992229684,371400000.0,0.0
18,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,6,0,4,1,7,4,7,2,1,0,0,3,5187673.881000885,263849515.1186777,0.004398899706709391,83984150.551475,62442135.26704733,0.036302277487958536,569600000.0,0.0
19,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,2,1,5,0,0,8,1,4,0,0,6,0,4,4,0.0,266366589.3680181,0.0,36035102.03422426,84141998.28354114,0.012275906458407532,672100000.0,0.0
20,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,5,2,0,7,0,1,2,5,0,6,4,1,0,5,1,0.0,272712740.1521915,0.0,14063615.34734003,99586213.85471994,0.006047901526996571,1003100000.0,0.0
21,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,7,3,3,2,10,7,6,2,4,2,2,5,3,1,3,0.0,532874865.6897066,0.0,815026.2737837145,120596499.3985208,3.22132595069754e-05,438700000.0,20.28078617234252
22,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,3,5,0,1,3,4,7,6,7,0,8,0,1,2,2,0,0.0,365528683.8574077,0.0,0.0,81452415.39206669,0.0,1149100000.0,0.0
23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,7,9,5,6,6,7,3,1,1,0,5,0,0.0,463873151.7559487,0.0,41992075.2757375,59351288.03563625,0.006534409947832536,205800000.0,609.9974791055199
24,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,5,6,3,1,5,7,10,7,5,5,6,5,0,5,1,10815140.587939907,519463020.90717894,0.0005888526536042109,23323052.562584087,108270101.99907826,0.0011988628875102658,321100000.0,981.7395367243776
25,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,7,0,0,6,7,4,3,7,4,4,1,0,7,0,6,0.0,405456991.2099217,0.0,0.0,112071468.90754583,0.0,454300000.0,0.0
26,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,1,6,3,2,7,4,4,7,5,2,1,7,0,2,1,0.0,449645645.41792303,0.0,49564239.830600135,84222177.14036086,0.002559560290480385,351800000.0,1482.5809770577816
27,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,5,3,1,1,1,4,6,6,4,3,2,0,0,5,0,10343608.436221117,390969323.77770257,0.0016966371775861413,0.0,53239770.519694015,0.0,1087700000.0,128.629062503915
28,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,2,5,1,3,3,1,7,6,6,7,4,4,4,0,7,0,0.0,439418985.21029466,0.0,14063615.34734003,77663690.69754551,0.0009071852290494858,606200000.0,340.5968989963896
29,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,3,2,10,1,2,7,5,3,6,1,0,1,2,0,5,2,2784524.1670791726,475916557.9949104,0.00015381678420192188,6736253.463967904,83203397.70981719,0.0001949987793832799,660100000.0,295.12261860028167
30,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,2,2,1,5,0,8,1,0,7,4,3,1,7,0,3,28866001.31315887,325744420.70924515,0.0029598465115054733,0.0,109954567.09852509,0.0,321100000.0,604.9099149749962
31,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3,5,2,0,0,3,3,5,5,5,5,2,4,1,3,2,10535535.718381079,301966222.5894323,0.0005591975916813046,0.0,119979391.8810956,0.0,687200000.0,272.6681611188265
32,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,3,0,0,1,1,0,4,1,7,7,0,5,5,0,0,3,26872374.75983463,226587400.92804533,0.0017156248188794979,51006417.84711518,54513952.99120675,0.0025174523686328134,710400000.0,2223.853707198602
33,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,3,2,1,0,2,3,0,0,5,5,5,7,6,6,0,8,5108021.209216457,229074411.95974883,0.0005131557830036737,0.0,146338529.6035285,0.0,1075900000.0,109.30441475964514
34,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3,5,1,3,5,6,1,2,7,7,7,1,2,0,5,1,0.0,442343469.6447929,0.0,41992075.2757375,98145845.36996293,0.0021781366492775118,267200000.0,1258.1198006551344
35,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,4,1,3,5,1,0,0,3,5,5,7,2,6,0,1,20311305.081016246,295976502.9282759,0.0025676877576482583,0.0,109815801.02239206,0.0,486700000.0,347.502221035638
36,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,3,6,1,3,6,7,4,0,7,6,7,1,3,2,0,0.0,439331040.0213841,0.0,0.0,100671144.87528577,0.0,492600000.0,0.0
37,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,3,4,6,6,5,4,3,4,6,7,0,0,1,0.0,465646756.1954972,0.0,107454536.26045144,69086318.70275183,0.046516713310916696,236500000.0,0.0
38,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,7,6,5,0,0,2,1,0,5,3,18097361.06778624,262942094.47988248,0.008326297644116335,82439294.5164589,86672842.48977172,0.03392883821379301,558500000.0,0.0
39,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,3,3,3,0,4,2,5,3,7,4,0,0,2,0,4,2,0.0,363080797.7286434,0.0,80783093.0878775,72254562.52325049,0.0036111841476458616,550900000.0,2489.697269960716
40,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,3,1,5,10,1,1,6,5,6,6,2,7,0,0,2,0,2713641.3865611195,464675162.6857744,0.00014629891354091617,8392607.273596993,50163280.23740588,0.00043062404691729536,1489800000.0,323.597159346171
41,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,1,7,1,4,1,6,5,7,4,0,0,3,1,35318599.35304965,411181274.0437872,0.030379055517328998,15354981.015551902,84571714.46013826,0.006563397506854139,423600000.0,0.0
42,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,2,4,3,0,5,3,0,0,2,2,5,4,1,0,1,1,45387527.264629394,258104589.0687665,0.005784786320463499,0.0,82020234.24051414,0.0,922100000.0,770.0670652077498
43,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,2,1,4,6,7,5,4,2,1,2,2,34486242.08001785,311928296.1561884,0.015378942573907343,0.0,116519494.45513524,0.0,333100000.0,0.0
44,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,2,6,6,4,9,0,1,5,0,2,2,15171027.623529099,389931267.0807379,0.006919154626746053,25998425.468446545,74841206.40860987,0.009119191665089166,726000000.0,0.0
45,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3,4,4,6,1,7,5,2,5,3,7,1,2,20730236.63235637,419650777.1957494,0.01776273847296454,819736.5269162368,141817978.2702606,0.00021673139336550972,199900000.0,0.0
46,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,3,3,7,7,8,4,5,6,2,0,3,0,0,2,0,0.0,534918692.4596342,0.0,4737502.476530239,36031637.66426329,0.0011369425456194118,793300000.0,0.0
47,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,3,4,5,2,5,5,0,3,5,5,2,0,0,0,3,0,0.0,383413294.9064779,0.0,14063615.34734003,37683606.26190176,0.0007257481832395885,1305500000.0,423.1415592237498
48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,4,7,4,3,5,3,0,0,5,0,42544426.36258313,233326634.24874035,0.01902860701992791,33684356.631701976,57745292.975598596,0.0144246420887538,371400000.0,0.0
49,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,4,3,0,1,0,4,1,9,4,7,1,0,0,6,0,65421787.71257623,288893366.1273044,0.04384970048986818,15354981.015551902,62532159.10939246,0.006563397506854139,897500000.0,0.0
